RPM,Throttle_%,Velocity_ms,Thrust_N,Power_W,Efficiency_gW
8769,70.0,21.8289632,7.356964436639999,114.00916100000002,64.52959018477469
8769,70.0,22.7006912,6.204590770560001,103.338042,60.04169084759707
8769,70.0,23.5768896,5.05427218212,92.084612,54.887261534207255
8769,70.0,24.4486176,3.8943810242400003,80.29787400000001,48.49917974465924
8769,70.0,25.3203456,2.7433863063600006,68.030825,40.32563630324931
11000,,0.0,39.20661108,345.15,113.59296271186442
11000,,1.2025375999999999,38.663928240000004,350.016,110.46331664838179
11000,,2.4050751999999997,38.06786676,354.591,107.35711498599795
11000,,3.6076128,37.41842664000001,358.773,104.29554799274194
11000,,4.80568,36.71560788,362.457,101.29645138595751
11000,,6.0082176,35.959410479999995,365.533,98.37527796395946
11000,,7.2107551999999995,35.13204156,367.883,95.49786633250245
11000,,8.4132928,34.24239756,369.39,92.69984991472428
11000,,9.6158304,33.28158204,369.936,89.96578337874661
11000,,10.818368,32.249595,369.405,87.3014577496244
11000,,12.0164352,31.14643644,367.689,84.70864355474326
11000,,13.2189728,29.97210636,364.69,82.18516098604294
11000,,14.421510399999999,28.72660476,360.316,79.72614249714141
11000,,15.624048,27.401035200000003,354.489,77.29727918214671
11000,,16.8265856,26.00429412,347.13,74.91226376285542
11000,,18.029123199999997,24.53638152,338.144,72.5619307750544
11000,,19.227190399999998,22.9972974,327.489,70.22311405879282
11000,,20.429728,21.3959382,315.222,67.87577707139731
11000,,21.6322656,19.74120036,301.406,65.49703841330299
11000,,22.8348032,18.033083880000003,286.092,63.03246466171722
11000,,24.037340800000003,16.29827808,269.325,60.51528109161793
11000,,25.2398784,14.51899008,251.15,57.81003416285088
11000,,26.4379456,12.71301276,231.615,54.88855540444271
11000,,27.6404832,10.88924256,210.779,51.66189497056158
11000,,28.843020799999998,9.05657592,188.712,47.99152104794608
11000,,30.045558399999997,7.215012840000001,165.499,43.59550716318528
11000,,31.248096,5.37344976,141.247,38.04293018612784
11000,,32.4506336,3.5496795600000004,116.088,30.577489146164982
11000,,33.6531712,1.7437022400000002,90.178,19.336226574108988
11000,,34.8512384,-0.026689320000000002,63.622,-0.4194982867561536
14000,,0.0,64.43691492,716.072,89.98664229295379
14000,,1.5288768,63.5650638,726.53,87.49131322863474
14000,,3.0577536,62.61314472,736.378,85.02853795197575
14000,,4.58216,61.57226124,745.396,82.6034232005538
14000,,6.1110368,60.442413359999996,753.36,80.23045205479451
14000,,7.6399136,59.2058082,760.032,77.89909924845269
14000,,9.1687904,57.8713422,765.164,75.63259928590473
14000,,10.6931968,56.43011892,768.503,73.42862541850845
14000,,12.2220736,54.873241920000005,769.796,71.28283586820405
14000,,13.7509504,53.19181476,768.797,69.18837451238753
14000,,15.2798272,51.394733880000004,765.275,67.15851671621313
14000,,16.808704,49.47310284,759.013,65.18083727156188
14000,,18.3331104,47.42692164,749.823,63.25082271416055
14000,,19.861987199999998,45.26508672,737.531,61.37380899243557
14000,,21.390864,42.9698052,721.981,59.516531875492575
14000,,22.9197408,40.55886996,702.971,57.696362950960996
